unique_incident_id,incident_id,incident_seq,publication_date,headline,publication
180008200,1800082,00,2018-01-05,"Benghazi Province, Sidi Akribesh  A landmine detonated, killing Walid al-Rashafani, an LNA soldier.",libya-businessnews.com
180008300,1800083,00,2018-01-05,"Darfur crimes  Two men killed, villagers beaten",Dabanga
180008400,1800084,00,2018-01-05,"Darfur crimes  Two men killed, villagers beaten",Dabanga
180008500,1800085,00,2018-01-03,A soldier dies and two civilians are injured in two attacks in the capital of Somalia,SIGLO XXI
180008600,1800086,00,2018-03-11,"Violent death   1,351 killed in 10 weeks",Vanguard
180008700,1800087,00,2018-01-03,"Security forces kill four suicide attackers, south of Salahuddin  Command",iraqinews.com
180008800,1800088,00,2018-01-03,"Six civilians killed, injured in two bomb blasts, south Baghdad",iraqinews.com
180008900,1800089,00,2018-01-03,UPDF leader Mithun Chakma shot dead,Dhaka Tribune
180009000,1800090,00,2018-01-04,Two killed as explosive device goes off,The News
180009100,1800091,00,2018-01-05,Abu Sayyaf terror group beheads Filipino couple,Xinhua Net
180009200,1800092,00,2018-01-04,Taliban Militants Kill Three ‘Security Personnel’ in Farah,atnNEWS
180009300,1800093,00,2018-01-04,PMF repels 18 ISIL suicide bombers - Arabic,arabic.sputniknews.com
180009400,1800094,00,2018-01-04,5 injured in an IED explosion in Duanem area southwest Baghdad. January 4 2018.,thepeninsulaqatar.com
180009500,1800095,00,2018-01-04,9 people killed and wounded in explosions in Baghdad - The Peninsula Qatar,thepeninsulaqatar.com
180009600,1800096,00,2018-01-04,Gunmen kidnap four Kurds in Tuzkhurmatu - Iraq News,iraqakhbar.com
180009700,1800097,00,2018-01-04,"Iraqi troops kill four Islamic State militants, arrest 18 others in Kirkuk",iraqinews.com
180009800,1800098,00,2018-01-05,Investigan ataque incendiario a maquinaria en fundo de la Forestal Arauco,Ahora Noticias
180009900,1800099,00,2018-01-04,Afghanistan  At least 11 dead from suicide bomber-kamikaze suicide in Kabul - Newsbomb - News - News,NEWSBOMB
180010000,1800100,00,,"Army shot at during Arsal arrest News , Lebanon News THE DAILY STAR",The Daily Star
180010100,1800101,00,2018-01-11,UN rights chief slams spike in civilian casualties in Syria's 'de-escalation' areas Associated Press Of Pakistan,Associated Press of Pakistan
180010200,1800102,00,2018-01-05,Molotov cocktails thrown at Israeli settler bus near Hebron,Ma'an News Agency
180010302,1800103,02,2018-01-04,Houthis snipers kill two Saudi soldiers in Jizan,klibhub.com
180010301,1800103,01,2018-01-04,Houthis snipers kill two Saudi soldiers in Jizan. Al-Dufainiya location.,klibehub.com
180010400,1800104,00,2018-01-17,Catholic priest stabbed as violence continues in Central African Republic,World Watch Monitor
180010500,1800105,00,2018-01-05,"Pakistan  TTP militants involved in attack on army major killed, Pakistan Observer Online, 2018-01-05",BBC Monitoring
180010600,1800106,00,2018-01-04,"Gunmen kill 8 in Egbeda, Rivers state - Daily Post Nigeria",Daily Post News Nigeria
180010700,1800107,00,2018-05-10,Militia warns Taraba communities against going to farm,VANGUARD
180010800,1800108,00,2018-01-05,"Gunmen kill family of five, two others in Taraba",Punch
180010900,1800109,00,2018-01-05,"Gunmen kill family of five, two others in Taraba",Punch
180011000,1800110,00,2018-01-05,"Gunmen kill family of five, two others in Taraba",Punch
